Eval Time,F1 Score,Expression
1.3784929999965243,0.0,"min(past_values(V18, 10))"
1.3811297999927774,0.0,"max(past_values(V8, 10))"
0.3741734000504948,0.0,V23
6.265527400013525,0.10526315789473684,"(mean(past_values(V21, 6)) * (((V24 * V20) + mean(past_values(V25, 8))) - ((V11 * V27) * max(past_values(V9, 10)))))"
0.37382480001542717,0.0,V24
0.36317859997507185,0.25,V12
1.4000897000078112,0.0,"max(past_values(V9, 9))"
6.367171899997629,0.0,"((((V7 + V15) - min(past_values(V3, 5))) * V19) * (max(past_values(V17, 6)) - (max(past_values(V8, 9)) + (V25 * Amount))))"
1.4099545999779366,0.0,"min(past_values(V5, 9))"
5.331409300037194,0.0,"((V1 - max(past_values(V16, 5))) - (mean(past_values(V15, 6)) * (V17 * min(past_values(V24, 6)))))"
1.3857091999961995,0.0,"max(past_values(V13, 5))"
1.5393746999907307,0.0,"mean(past_values(V17, 6))"
5.572228400036693,0.0,"((mean(past_values(V7, 6)) * min(past_values(V1, 6))) + ((min(past_values(V14, 9)) + (V8 - V7)) - V5))"
4.3020040999981575,0.0,"(((mean(past_values(V12, 7)) * (V2 + V24)) + V7) - max(past_values(V14, 6)))"
0.39362739998614416,0.0,V5
2.8278903999598697,0.0,"(min(past_values(V18, 6)) * max(past_values(V2, 9)))"
0.3741734000504948,0.0,V23
0.3741734000504948,0.0,V23
5.387045799987391,0.0,"((((V26 * V10) * (V10 * V23)) + (min(past_values(V13, 7)) + (V26 + V13))) * min(past_values(V4, 9)))"
5.986772699980065,0.0,"((max(past_values(V12, 5)) * (mean(past_values(V17, 5)) - mean(past_values(V17, 7)))) - mean(past_values(V19, 5)))"
0.36448879999807104,0.0,V24
0.3741734000504948,0.0,V23
1.5287976000108756,0.07692307692307693,"mean(past_values(V16, 8))"
0.3741734000504948,0.0,V23
8.372322199982591,0.06666666666666667,"((min(past_values(V11, 8)) * ((V20 * V16) - mean(past_values(V10, 8)))) + ((max(past_values(V14, 9)) + (V6 * Amount)) + ((V4 + V9) * max(past_values(V12, 5)))))"
0.36317859997507185,0.25,V12
